"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","VP","Vanpool","DO","745","7.8048",,"0.6156",,"63.2933",,"4.9926",,"12.6774",,"0.6191",,"5484481",,"8908529",,"702709",,"140750",,"14389243",,"4413910",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","DR","Demand Response","TX","94","0.8268",,"0.0158",,"106.6748",,"2.0407",,"52.2744",,"3.5922",,"91601",,"5791694",,"110794",,"54293",,"1612286",,"1461592",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","DO","793","1.0572",,"0.0865",,"235.1735",,"19.2347",,"12.2265",,"3.0912",,"56566150",,"654161434",,"53503564",,"2781612",,"211617698",,"29908625",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","SR","Streetcar Rail","DO","10","0.5266",,"0.047",,"334.9926",,"29.9233",,"11.195",,"9.854",,"588495",,"12511637",,"1117605",,"37349",,"1269696",,"180369",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","TB","Trolleybus","DO","117","1.0573",,"0.1202",,"214.5792",,"24.4018",,"8.7936",,"4.7988",,"10123486",,"84198937",,"9575042",,"392391",,"17545751",,"2635705",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","FB","Ferryboat","DO","2","4.2838",,"0.1927",,"1521.8295",,"68.469",,"22.2265",,"6.5349",,"1715265",,"8899659",,"400407",,"5848",,"1361870",,"51236",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","DR","Demand Response","PT","217","1.3341",,"0.0135",,"134.7681",,"1.3667",,"98.6095",,"9.8702",,"740726",,"54748982",,"555210",,"406246",,"5546871",,"4968632",
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","PT","51","0.5836",,"0.016",,"209.3595",,"5.7461",,"36.4349",,"9.4995",,"280187",,"17491566",,"480077",,"83548",,"1841319",,"907697",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","VP","Vanpool","DO","73","2.7349",,"0.333",,"28.6414",,"3.4873",,"8.213",,"0.2772",,"247718",,"743903",,"90576",,"25973",,"2683580",,"905990",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","DR","Demand Response","PT","32","0.516",,"0.0122",,"99.5386",,"2.3487",,"42.3799",,"4.9766",,"73585",,"6043883",,"142612",,"60719",,"1214452",,"945068",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","DR","Demand Response","DO","47","2.7341",,"0.0384",,"173.6595",,"2.4416",,"71.1251",,"8.9175",,"457699",,"11906619",,"167404",,"68563",,"1335191",,"1073683",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","MB","Bus","DO","127","0.9302",,"0.0815",,"161.671",,"14.1627",,"11.4153",,"2.674",,"6135110",,"75287455",,"6595319",,"465683",,"28155245",,"6485325",
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","MB","Bus","DO","91","0.8801","W","0.0605",,"192.1422",,"13.2","W","14.5562","W","3.4322","W","4356831",,"72057557",,"4950296","W","375022",,"20994349","W","4227441",
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR","Demand Response","PT","60","1.1868",,"0.0165",,"123.0677",,"1.7069",,"72.0983",,"9.3583",,"210454",,"12785260",,"177331",,"103888",,"1366194",,"1438251",
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR","Demand Response","DO","17","1.4124",,"0.0136",,"194.1396",,"1.8759",,"103.4935",,"14.084",,"53359",,"3909778",,"37778",,"20139",,"277604",,"279427",
